Ticker, Code, Name
CWI,GOOG/AMEX_CWI,SPDR MSCI ACWI ex-US 
CXA,GOOG/AMEX_CXA,SPDR Nuveen Barclays Cap Clfrn Mncpl Bnd 
CXM,GOOG/AMEX_CXM,Cardium Therapeutics Inc 
CXZ,GOOG/AMEX_CXZ,Crosshair Energy Corp 
CYB,GOOG/AMEX_CYB,WisdomTree Dreyfus Chinese Yuan Fd 
CZA,GOOG/AMEX_CZA,Claymore/Zacks Mid-Cap Core 
DAG,GOOG/AMEX_DAG,DB Agriculture Double Long ETN DB Agriculture Double Long ETN 
DBA,GOOG/AMEX_DBA,PowerShares DB Agriculture Fund 
DBB,GOOG/AMEX_DBB,Powershares DB Base Metals Fund 
DBBR,GOOG/AMEX_DBBR,DBX ETF Trust 
DBC,GOOG/AMEX_DBC,PowerShares DB Com Indx Trckng Fund
DBCN,GOOG/AMEX_DBCN,DB-X Canada Hedged Equity MSCI ETF 
DBE,GOOG/AMEX_DBE,PowerShares DB Energy Fund 
DBEF,GOOG/AMEX_DBEF,DBX ETF Trust 
DBEM,GOOG/AMEX_DBEM,DB-X Emerging Mkts Hdgd Equity MSCI ETF 
DBJP,GOOG/AMEX_DBJP,DBX ETF Trust 
DBO,GOOG/AMEX_DBO,PowerShares DB Oil Fund 
DBP,GOOG/AMEX_DBP,PowerShares DB Precious Metals Fd 
DBS,GOOG/AMEX_DBS,PowerShares DB Silver Fund 
DBU,GOOG/AMEX_DBU,WisdomTree International Utilities Fund 
DBV,GOOG/AMEX_DBV,Powershares DB G10 Currency Harvest Fund 
DCNG,GOOG/AMEX_DCNG,iPath Seasonal Natural Gas ETN 
DDG,GOOG/AMEX_DDG,ProShares Short Oil &amp; Gas 
DDM,GOOG/AMEX_DDM,ProShares Ultra Dow30 
DDP,GOOG/AMEX_DDP,DB Commodity DB Commodity Short ETN 
DDVX,GOOG/AMEX_DDVX,Daily 4-Mo S&P 500 VIX ETN UBS E-Tracs 
DEE,GOOG/AMEX_DEE,DB Commodity DB Commodity Double Short ETN 
DEF,GOOG/AMEX_DEF,Claymore/Sabrient Defensive Eq Idx 
DEFL,GOOG/AMEX_DEFL,DB US Deflation ETN Powershares 
DEJ,GOOG/AMEX_DEJ,Dejour Energy Inc 
DEM,GOOG/AMEX_DEM,WisdomTree Emerging Markets Eqty Incm Fd 
DES,GOOG/AMEX_DES,WisdomTree SmallCap Dividend Fund 
DEW,GOOG/AMEX_DEW,WisdomTree Global Equity Income Fd 
DFE,GOOG/AMEX_DFE,WisdomTree Europe SmallCap Div Fd 
DFF,GOOG/AMEX_DFF,Bank of America Corporation MITTS Linked to the Dow Jones Industrial Average 
DFJ,GOOG/AMEX_DFJ,WisdomTree Japan SmallCap Div Fd 
DFVL,GOOG/AMEX_DFVL,iPath US Treasury 5 Year Bull ETN 
DFVS,GOOG/AMEX_DFVS,iPath US Treasury 5 Year Bear ETN 
DGAZ,GOOG/AMEX_DGAZ,3X Inverse Natural Gas ETN Velocityshares 
DGL,GOOG/AMEX_DGL,PowerShares DB Gold Fund 
DGLD,GOOG/AMEX_DGLD,VelocityShares 3x Inverse Gold ETN linked to the S&amp;P GSCI Gold Index Excess Return 
DGP,GOOG/AMEX_DGP,Deutsche Bank AG DB Gold Double Long ETN 
DGS,GOOG/AMEX_DGS,WisdomTree Emerging Mkts Small Cp Div Fd 
DGSE,GOOG/AMEX_DGSE,DGSE Companies
DGT,GOOG/AMEX_DGT,SPDR DJ Global Titans 
DGZ,GOOG/AMEX_DGZ,Deutsche Bank AG DB Gold Short ETN 
DHS,GOOG/AMEX_DHS,WisdomTree Equity Income Fund 
DHY,GOOG/AMEX_DHY,Credit Suisse High Yield Bond Fund 
DIA,GOOG/AMEX_DIA,SPDR Dow Jones Industrial Average ETF 
DIG,GOOG/AMEX_DIG,ProShares Ultra Oil &amp; Gas 
DIM,GOOG/AMEX_DIM,WisdomTree Intl. MidCap Dividend F 
DIRT,GOOG/AMEX_DIRT,iPath Pure Beta Agriculture ETN 
DIT,GOOG/AMEX_DIT,AMCON Distributing Co. 
DIVS,GOOG/AMEX_DIVS,Russell Smallcap High Dividend Yld ETF 
DJCI,GOOG/AMEX_DJCI,UBS AG Linked to the Dow Jones-UBS Commodity Index Total Return 
DJP,GOOG/AMEX_DJP,iPath Dow Jones UBS Commodity Index Total Return ETN 
DLA,GOOG/AMEX_DLA,Delta Apparel
DLBL,GOOG/AMEX_DLBL,iPath US Treasury Long Bond Bull ETN 
DLBS,GOOG/AMEX_DLBS,iPath US Treasury Long Bond Bear ETN 
DLN,GOOG/AMEX_DLN,WisdomTree LargeCap Dividend Fund 
DLS,GOOG/AMEX_DLS,WisdomTree Intl. SmallCap Div Fd. 
DMF,GOOG/AMEX_DMF,Dreyfus Municipal Income
DNL,GOOG/AMEX_DNL,WisdomTree World Ex-U.S. Growth Fd
DNN,GOOG/AMEX_DNN,Denison Mines Corp 
DNO,GOOG/AMEX_DNO,United States Short Oil Fund 
DOD,GOOG/AMEX_DOD,Deutsche Bank AG ELEMENTS Dogs of the Dow Total Return Index Note ELEMENTS Dogs of the Dow Linked to the Dow Jones High Yield Select 10 Total Return Index due N 
DOG,GOOG/AMEX_DOG,ProShares Short Dow30 
DOIL,GOOG/AMEX_DOIL,3X Inverse Brent Crude ETN Velocityshares 
DOL,GOOG/AMEX_DOL,WisdomTree Intl. LargeCap Div Fd 
DON,GOOG/AMEX_DON,WisdomTree MidCap Dividend Fund 
DOO,GOOG/AMEX_DOO,WisdomTree Internationl Dvdnd Ex Fncl Fd 
DPK,GOOG/AMEX_DPK,Direxion Daily Dpd Mkts Bear 3x Shs
DPU,GOOG/AMEX_DPU,DB Commodity DB Commodity Long ETN 
DPW,GOOG/AMEX_DPW,Digital Power Corporation 
DRGS,GOOG/AMEX_DRGS,RBS Global Big Pharma Exchange Traded Note 
DRN,GOOG/AMEX_DRN,Direxion Daily Real Estate Bull 3X 
DRR,GOOG/AMEX_DRR,Market Vectors Double Short Euro ETN 
DRV,GOOG/AMEX_DRV,Direxion Daily Real Estate Bear 3X 
DRW,GOOG/AMEX_DRW,WisdomTree Int Real Estate Fund 
DSI,GOOG/AMEX_DSI,iShares FTSE KLD 400 Social Idx Fd 
DSLV,GOOG/AMEX_DSLV,VelocityShares 3x Inverse Silver ETN linked to the S&amp;P GSCI Silver Inverse Index ER 
DSS,GOOG/AMEX_DSS,Document Security Systems
DSTJ,GOOG/AMEX_DSTJ,JPMorgan Double Short US Long Bond Treasury Futures ETN 
DSUM,GOOG/AMEX_DSUM,PowerShares Chinese Yuan Dim Sum Bond Portfolio 
DSXJ,GOOG/AMEX_DSXJ,JPMorgan Double Short US 10 Year Treasury Futures ETN 
DTD,GOOG/AMEX_DTD,WisdomTree Total Dividend Fund 
DTH,GOOG/AMEX_DTH,WisdomTree DEFA Equity Income Fund 
DTN,GOOG/AMEX_DTN,WisdomTree Dividend ex-Fin Fund
DTO,GOOG/AMEX_DTO,PowerShares DB Crude Oil Double Short ETN 
DTUL,GOOG/AMEX_DTUL,iPath US Treasury 2 Yr Bull ETN 
DTUS,GOOG/AMEX_DTUS,iPath US Treasury 2 Yr Bear ETN 
DTYL,GOOG/AMEX_DTYL,iPath US Treasury 10 Yr Bull ETN 
DTYS,GOOG/AMEX_DTYS,iPath US Treasury 10 Yr Bear ETN 
DUG,GOOG/AMEX_DUG,ProShares UltraShort Oil &amp; Gas 
DUST,GOOG/AMEX_DUST,Direxion Shares Exchange Traded Fund Trust 
DVY,GOOG/AMEX_DVY,iShares Dow Jones Select Dividend 
