"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
118,"ERC","Wells Fargo Advantage Multi-Sector Income Fund","Financial","Closed-End Fund - Debt","USA",,,13.90,0.00%,36553
119,"ERH","Wells Fargo Advantage Utilities and High Income Fund","Financial","Closed-End Fund - Equity","USA",,,11.60,0.17%,1300
120,"ESP","Espey Manufacturing & Electronics Corp.","Technology","Diversified Electronics","USA",70.52,13.34,31.55,-0.19%,1485
121,"ESTE","Earthstone Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",31.78,10.79,18.28,-0.38%,1273
122,"ETAK","Elephant Talk Communications Corp.","Technology","Long Distance Carriers","Netherlands",136.49,,1.11,-3.48%,228378
123,"ETF","Aberdeen Emerging Markets Telecommunications Fund, Inc.","Financial","Closed-End Fund - Equity","USA",,,13.74,-30.54%,39221
124,"EVBN","Evans Bancorp Inc.","Financial","Regional - Northeast Banks","USA",87.13,10.92,20.85,0.00%,0
125,"EVI","EnviroStar, Inc.","Services","Consumer Services","USA",21.10,13.04,2.95,-1.67%,8578
126,"EVJ","Eaton Vance New Jersey Municipal Income Trust","Financial","Closed-End Fund - Debt","USA",,,11.38,0.26%,17031
127,"EVK","Ever-Glory International Group, Inc.","Consumer Goods","Textile - Apparel Clothing","USA",87.93,6.20,5.69,-4.37%,5027
128,"EVM","Eaton Vance California Municipal Bond Fund","Financial","Closed-End Fund - Debt","USA",,,10.12,-0.10%,43867
129,"EVO","Eaton Vance Ohio Municipal Income Trust","Financial","Closed-End Fund - Debt","USA",,,12.03,0.17%,5203
130,"EVP","Eaton Vance Pennsylvania Municipal Income Trust","Financial","Closed-End Fund - Debt","USA",,,10.93,-0.15%,14475
131,"EVV","Eaton Vance Limited Duration Income Fund","Financial","Asset Management","USA",1745.57,13.75,14.84,-0.10%,143177
132,"EVY","Eaton Vance New York Municipal Income Trust","Financial","Closed-End Fund - Debt","USA",66.19,12.86,12.14,0.41%,5908
133,"EXE","Crexendo, Inc.","Technology","Application Software","USA",33.11,,3.10,0.00%,7770
134,"FAX","Aberdeen Asia-Pacific Income Fund Inc.","Financial","Closed-End Fund - Debt","Singapore",1564.34,9.59,5.84,-0.17%,537480
135,"FCO","Aberdeen Global Income Fund Inc.","Financial","Closed-End Fund - Debt","USA",,,10.36,0.41%,14606
136,"FCSC","Fibrocell Science, Inc.","Healthcare","Biotechnology","USA",103.61,2.56,3.86,-2.29%,10551
137,"FEN","Energy Income & Growth Fund","Financial","Closed-End Fund - Equity","USA",,,30.52,-0.69%,27948
138,"FPP","Fieldpoint Petroleum Corp.","Basic Materials","Independent Oil & Gas","USA",33.64,21.95,4.17,0.00%,3
139,"FRD","Friedman Industries Inc.","Basic Materials","Steel & Iron","USA",58.88,18.04,8.52,-1.62%,5373
140,"FRS","Frisch's Restaurants Inc.","Services","Restaurants","USA",122.24,15.45,23.99,-0.46%,1679
141,"FSI","Flexible Solutions International Inc.","Basic Materials","Specialty Chemicals","Canada",11.59,,0.85,-3.41%,5250
142,"FSP","Franklin Street Properties Corp.","Financial","REIT - Office","USA",1196.23,56.86,12.03,0.75%,40447
143,"FTF","Franklin Templeton Limited Duration Income Trust","Financial","Asset Management","USA",,,12.80,-0.08%,46287
144,"FWV","First West Virginia Bancorp Inc.","Financial","Regional - Mid-Atlantic Banks","USA",27.90,12.68,16.10,-0.80%,505
145,"GBR","New Concept Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",3.45,1.95,1.77,0.00%,3710
146,"GGN","The Gabelli Global Gold, Natural Resources & Income Trust","Financial","Closed-End Fund - Equity","USA",,,8.83,0.91%,200348
147,"GHM","Graham Corp.","Industrial Goods","Metal Fabrication","USA",365.05,27.07,36.24,-0.11%,14416
148,"GIG","GigOptix, Inc.","Technology","Semiconductor Equipment & Materials","USA",35.52,,1.59,-3.05%,48544
149,"GLOW","Glowpoint, Inc.","Technology","Diversified Communication Services","USA",42.47,,1.34,0.01%,2591
150,"GLQ","Clough Global Equity Fund","Financial","Closed-End Fund - Foreign","USA",,,15.10,-0.10%,20327
151,"GLU","The Gabelli Global Utility & Income Trust","Financial","Closed-End Fund - Equity","USA",78.64,11.40,19.27,1.21%,2123
152,"GLV","Clough Global Allocation Fund","Financial","Closed-End Fund - Equity","USA",,,14.90,0.25%,16176
153,"GMO","General Moly, Inc.","Basic Materials","Industrial Metals & Minerals","USA",108.04,,1.16,-1.69%,86788
154,"GORO","Gold Resource Corp","Basic Materials","Gold","USA",259.14,20.25,4.99,2.67%,94852
155,"GPL","Great Panther Silver Ltd","Basic Materials","Silver","Canada",99.41,,0.73,1.99%,125307
156,"GRC","Gorman-Rupp Co.","Industrial Goods","Diversified Machinery","USA",789.72,29.78,30.25,0.57%,9107
157,"GRF","Eagle Capital Growth Fund, Inc.","Financial","Closed-End Fund - Equity","USA",,,7.44,-1.32%,2256
158,"GRH","GreenHunter Energy, Inc.","Industrial Goods","Pollution & Treatment Controls","USA",44.32,,1.31,-0.76%,54310
159,"GSB","GlobalSCAPE, Inc.","Technology","Application Software","USA",44.03,,2.34,-1.68%,656
160,"GSS","Golden Star Resources, Ltd.","Basic Materials","Gold","USA",116.59,,0.46,1.31%,168693
161,"GST","Gastar Exploration, Ltd.","Basic Materials","Independent Oil & Gas","USA",312.03,7.56,5.41,-0.55%,114156
162,"GSV","Gold Standard Ventures Corp","Basic Materials","Gold","Canada",70.66,,0.73,-4.68%,8600
163,"GTE","Gran Tierra Energy, Inc.","Basic Materials","Independent Oil & Gas","Canada",1978.81,11.10,7.01,0.36%,126750
164,"GTT","Global Telecom & Technology, Inc.","Technology","Diversified Communication Services","USA",157.47,,7.18,2.57%,18660
165,"GTU","Central GoldTrust","Basic Materials","Gold","Canada",830.48,,43.03,0.01%,8501
166,"GV","Goldfield Corp.","Industrial Goods","Heavy Construction","USA",48.87,5.65,1.93,0.52%,14045
167,"GVP","GSE Systems Inc.","Technology","Business Software & Services","USA",28.73,,1.57,0.00%,0
168,"HEB","Hemispherx Biopharma, Inc.","Healthcare","Biotechnology","USA",45.14,,0.27,0.37%,166535
169,"HH","Hooper Holmes Inc.","Healthcare","Specialized Health Services","USA",37.77,,0.53,-1.85%,64741
170,"HMG","HMG/Courtland Properties Inc.","Financial","REIT - Retail","USA",15.25,,15.64,0.00%,0
