Ticker, Code, Name
ATAI,GOOG/NASDAQ_ATAI,ATA Inc.
ATAX,GOOG/NASDAQ_ATAX,America First Tax Exempt Investors
ATEA,GOOG/NASDAQ_ATEA,Astea International Inc. 
ATEC,GOOG/NASDAQ_ATEC,Alphatec Holdings Inc 
ATHN,GOOG/NASDAQ_ATHN,athenahealth
ATHX,GOOG/NASDAQ_ATHX,Athersys
ATLC,GOOG/NASDAQ_ATLC,Atlanticus Holdings Corp 
ATLO,GOOG/NASDAQ_ATLO,Ames National Corporation 
ATMI,GOOG/NASDAQ_ATMI,ATMI Inc 
ATML,GOOG/NASDAQ_ATML,Atmel Corporation 
ATNI,GOOG/NASDAQ_ATNI,Atlantic Tele-Network
ATNY,GOOG/NASDAQ_ATNY,API Technologies Corp 
ATOS,GOOG/NASDAQ_ATOS,Atossa Genetics Inc 
ATPG,GOOG/NASDAQ_ATPG,Atp Oil & Gas Corp. 
ATRC,GOOG/NASDAQ_ATRC,AtriCure Inc. 
ATRI,GOOG/NASDAQ_ATRI,Atrion Corporation 
ATRM,GOOG/NASDAQ_ATRM,Aetrium Inc. 
ATRO,GOOG/NASDAQ_ATRO,Astronics Corporation 
ATRS,GOOG/NASDAQ_ATRS,Antares Pharma Inc 
ATSG,GOOG/NASDAQ_ATSG,Air Transport Services Group Inc. 
ATTU,GOOG/NASDAQ_ATTU,Attunity Ltd 
ATVI,GOOG/NASDAQ_ATVI,Activision Blizzard
ATX,GOOG/NASDAQ_ATX,A.T. Cross Company 
AUBN,GOOG/NASDAQ_AUBN,Auburn National Bancorporation Inc 
AUDC,GOOG/NASDAQ_AUDC,AudioCodes Ltd. 
AUTH,GOOG/NASDAQ_AUTH,Authentec 
AUXL,GOOG/NASDAQ_AUXL,Auxilium Pharmaceuticals
AVAV,GOOG/NASDAQ_AVAV,AeroVironment
AVCA,GOOG/NASDAQ_AVCA,Diversicare Healthcare Services Inc 
AVEO,GOOG/NASDAQ_AVEO,AVEO Pharmaceuticals
AVGO,GOOG/NASDAQ_AVGO,Avago Technologies Ltd 
AVHI,GOOG/NASDAQ_AVHI,AV Homes Inc 
AVID,GOOG/NASDAQ_AVID,Avid Technology
AVNR,GOOG/NASDAQ_AVNR,Avanir Pharmaceuticals
AVNW,GOOG/NASDAQ_AVNW,Aviat Networks 
AWAY,GOOG/NASDAQ_AWAY,HomeAway
AWRE,GOOG/NASDAQ_AWRE,Aware
AXAS,GOOG/NASDAQ_AXAS,Abraxas Petroleum Corp. 
AXDX,GOOG/NASDAQ_AXDX,Accelerate Diagnostics Inc 
AXFN,GOOG/NASDAQ_AXFN,iShares MSCI ACWI ex US Financials Sect 
AXJS,GOOG/NASDAQ_AXJS,iShares Trust 
AXTI,GOOG/NASDAQ_AXTI,AXT Inc 
AZPN,GOOG/NASDAQ_AZPN,Aspen Technology
BABY,GOOG/NASDAQ_BABY,Natus Medical Inc 
BAGL,GOOG/NASDAQ_BAGL,Einstein Noah Restaurant Group
BAMM,GOOG/NASDAQ_BAMM,Books-A-Million
BANC,GOOG/NASDAQ_BANC,First PacTrust Bancorp
BANF,GOOG/NASDAQ_BANF,BancFirst Corporation 
BANFP,GOOG/NASDAQ_BANFP,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities 
BANR,GOOG/NASDAQ_BANR,Banner Corporation 
BASI,GOOG/NASDAQ_BASI,Bioanalytical Systems
BBBY,GOOG/NASDAQ_BBBY,Bed Bath &amp; Beyond Inc. 
BBCN,GOOG/NASDAQ_BBCN,BBCN Bancorp
BBEP,GOOG/NASDAQ_BBEP,BreitBurn Energy Partners L.P. 
BBGI,GOOG/NASDAQ_BBGI,Beasley Broadcast Group Inc 
BBNK,GOOG/NASDAQ_BBNK,Bridge Capital Holdings 
BBOX,GOOG/NASDAQ_BBOX,Black Box Corporation 
BBRG,GOOG/NASDAQ_BBRG,Bravo Brio Restaurant Group
BBRY,GOOG/NASDAQ_BBRY,Research In Motion Ltd 
BBSI,GOOG/NASDAQ_BBSI,Barrett Business Services
BBXT,GOOG/NASDAQ_BBXT,Bankatlantic Bancorp 
BCBP,GOOG/NASDAQ_BCBP,BCB Bancorp
BCDS,GOOG/NASDAQ_BCDS,Bcd Semiconductor Manufacturing Ltd 
BCOM,GOOG/NASDAQ_BCOM,B Communications Ltd 
BCOR,GOOG/NASDAQ_BCOR,Blucora Inc 
BCOV,GOOG/NASDAQ_BCOV,Brightcove Inc 
BCPC,GOOG/NASDAQ_BCPC,Balchem Corporation 
BCRX,GOOG/NASDAQ_BCRX,BioCryst Pharmaceuticals
BCSB,GOOG/NASDAQ_BCSB,BCSB Bancorp Inc 
BDBD,GOOG/NASDAQ_BDBD,Boulder Brands Inc 
BDE,GOOG/NASDAQ_BDE,Black Diamond Inc 
BDGE,GOOG/NASDAQ_BDGE,Bridge Bancorp
BDMS,GOOG/NASDAQ_BDMS,Birner Dental Mgmt. Services 
BDSI,GOOG/NASDAQ_BDSI,BioDelivery Sciences International
BEAT,GOOG/NASDAQ_BEAT,Cardionet Inc 
BEAV,GOOG/NASDAQ_BEAV,B/E Aerospace Inc 
BEBE,GOOG/NASDAQ_BEBE,bebe stores
BECN,GOOG/NASDAQ_BECN,Beacon Roofing Supply
BELFA,GOOG/NASDAQ_BELFA,Bel Fuse
BELFB,GOOG/NASDAQ_BELFB,Bel Fuse
